title,description,severity
No title is displayed when confirming a bug by popular votes,No title is displayed when confirming a bug by popular votes,Low
editkeywords.cgi does not HTMLify descriptions,editkeywords.cgi does not HTMLify descriptions,Low
"H1, H2 and H3 are not filtered in global/header.html.tmpl","H1, H2 and H3 are not filtered in global/header.html.tmpl",High
attachment.cgi lets you view descriptions of private attachments even when you are not in the insidergroup,attachment.cgi lets you view descriptions of private attachments even when you are not in the insidergroup,Low
"XSS in the ""id"" parameter of showdependencygraph when ""doall"" is set","XSS in the ""id"" parameter of showdependencygraph when ""doall"" is set",Critical
timetracking deadline leaks in xml,timetracking deadline leaks in xml,Medium
"Release/News Announcement for Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3","Release/News Announcement for Bugzilla 2.18.6, 2.20.3, 2.22.1, and 2.23.3",Critical
Link to new API documentation,Link to new API documentation,Medium
"Mass-change broken due to the undesired onClick=""document.location='show_bug.cgi?id=XXX'""","Mass-change broken due to the undesired onClick=""document.location='show_bug.cgi?id=XXX'""",High
'cf_' should not be allowed as a custom field name,'cf_' should not be allowed as a custom field name,Medium
Insecure dependency in exec while running with -T switch at /usr/lib/perl5/site_perl/5.8.6/Mail/Mailer/sendmail.pm line 16.,Insecure dependency in exec while running with -T switch at /usr/lib/perl5/site_perl/5.8.6/Mail/Mailer/sendmail.pm line 16.,Medium
Clean up a few more variable-scoping issues for mod_perl,Clean up a few more variable-scoping issues for mod_perl,Medium
editgroups.cgi doesn't protect the querysharegroup from deletion,editgroups.cgi doesn't protect the querysharegroup from deletion,Medium
Renaming a group which plays a special role generates a SQL error,Renaming a group which plays a special role generates a SQL error,Critical
$rankdir should be validated in showdependencygraph.cgi,$rankdir should be validated in showdependencygraph.cgi,Medium
Custom select fields are mandatory on bug creation (despite they shouldn't be),Custom select fields are mandatory on bug creation (despite they shouldn't be),Medium
bug creation time not available on bug creation,bug creation time not available on bug creation,Medium
Custom fields should appear as text when they are not editable,Custom fields should appear as text when they are not editable,Medium
MIME-Types version requirement is at least 0.02,MIME-Types version requirement is at least 0.02,Low
"whine.pl says ""email address has not been properly set"" with default parameters","whine.pl says ""email address has not been properly set"" with default parameters",High
Flag fieldset should appear directly under People fieldset,Flag fieldset should appear directly under People fieldset,Medium
report.cgi generates bare '&' in img src URL,report.cgi generates bare '&' in img src URL,Low
Crash on enter_bug.cgi,Crash on enter_bug.cgi,Critical
Field Values still visible in navigation bar for user with editcomponents rights,Field Values still visible in navigation bar for user with editcomponents rights,Low
Missing module declarations in Bug.pm,Missing module declarations in Bug.pm,Medium
Having links to search for and create a new bug 4 times on a page is excessive,Having links to search for and create a new bug 4 times on a page is excessive,Low
"Can't locate object method ""use_for"" via package ""Bugzilla::Group""","Can't locate object method ""use_for"" via package ""Bugzilla::Group""",High
"Labels of custom fields are left aligned on enter_bug.cgi,post_bug.cgi","Labels of custom fields are left aligned on enter_bug.cgi,post_bug.cgi",Medium
"Top nav should have ""Preferences,"" and shouldn't have ""Sanity Check.""","Top nav should have ""Preferences,"" and shouldn't have ""Sanity Check.""",Low
WebService functions version and timezone should follow bugzilla standard,WebService functions version and timezone should follow bugzilla standard,Low
[PostgreSQL] Sequences need to be renamed when their field is renamed,[PostgreSQL] Sequences need to be renamed when their field is renamed,High
buglist.cgi doesn't specify encoding as UTF-8 when the rest of Bugzilla does,buglist.cgi doesn't specify encoding as UTF-8 when the rest of Bugzilla does,Medium
"Users can add bugs to groups that they are members of, even if the group controls are NA/NA","Users can add bugs to groups that they are members of, even if the group controls are NA/NA",Medium
missing indexes cause upgrades to fail -- code think-o,missing indexes cause upgrades to fail -- code think-o,Critical
skins/standard/show_bug.css is gone,skins/standard/show_bug.css is gone,Low
voting should not offer a text field if the user only has one vote available or voting error is wrong,voting should not offer a text field if the user only has one vote available or voting error is wrong,Low
"[PostgreSQL] It's somehow possible to generate two ""relevance"" columns on buglist.cgi","[PostgreSQL] It's somehow possible to generate two ""relevance"" columns on buglist.cgi",Low
loginnetmask param should default to 1,loginnetmask param should default to 1,Medium
"Can't locate object method ""type_name"" via package ""Bugzilla::Field"" when listing custom fields","Can't locate object method ""type_name"" via package ""Bugzilla::Field"" when listing custom fields",High
process_bug.cgi crashes when encountering a deleted user,process_bug.cgi crashes when encountering a deleted user,Low
"""Use of uninitialized value in integer addition"" on buglist.cgi under AIX 5.3","""Use of uninitialized value in integer addition"" on buglist.cgi under AIX 5.3",Medium
"No space between ""Actions:"" and ""Home"" when logged out","No space between ""Actions:"" and ""Home"" when logged out",Low
"When adding a new custom field, a sortkey of 0 is ignored","When adding a new custom field, a sortkey of 0 is ignored",Medium
make releases list easier maintenance,make releases list easier maintenance,Low
UTF-8 conversion fails on MySQL 5,UTF-8 conversion fails on MySQL 5,Critical
"[PostgreSQL] Too many ""NOTICE"" messages from checksetup.pl","[PostgreSQL] Too many ""NOTICE"" messages from checksetup.pl",Medium
[PostgreSQL] Warning when creating the logincookies table,[PostgreSQL] Warning when creating the logincookies table,Low
Upgrades from versions with enums fail UTF-8 conversion,Upgrades from versions with enums fail UTF-8 conversion,Critical
No requestee field available for attachments on bug creation,No requestee field available for attachments on bug creation,Medium
Docs need to be changed to include info about the Email:: modules instead of the Mail:: modules,Docs need to be changed to include info about the Email:: modules instead of the Mail:: modules,Critical
bugzilla user interface gets corrupted by multiple localized users resolving bugs as duplicates,bugzilla user interface gets corrupted by multiple localized users resolving bugs as duplicates,Critical
Documentation for User Deletion,Documentation for User Deletion,Medium
"The ""Using Bugzilla"" chapter should be before the ""Customising Bugzilla"" chapter","The ""Using Bugzilla"" chapter should be before the ""Customising Bugzilla"" chapter",Medium
update Bugzilla FAQ,update Bugzilla FAQ,Critical
"Attachments should have their own section in the docs, and info about PatchReader should be a sub-section of it","Attachments should have their own section in the docs, and info about PatchReader should be a sub-section of it",Medium
Add link to DBD::Pg in the documentation,Add link to DBD::Pg in the documentation,Medium
SQL query in Bugzilla::Bug::EmitDependList() too complicated,SQL query in Bugzilla::Bug::EmitDependList() too complicated,Low
allowbugdeletion should not say versions can delete bugs,allowbugdeletion should not say versions can delete bugs,Low
Use of uninitialized value in numeric eq (==) at Bugzilla/User.pm line 1465,Use of uninitialized value in numeric eq (==) at Bugzilla/User.pm line 1465,Medium
"Argument """" isn't numeric in numeric gt (>) at data/template/template/en/default/global/user-error.html.tmpl line 1526","Argument """" isn't numeric in numeric gt (>) at data/template/template/en/default/global/user-error.html.tmpl line 1526",Low
"gmt, ut, utc, wet cannot be used as timezone","gmt, ut, utc, wet cannot be used as timezone",Medium
An error is thrown when the requestee of a private attachment is not in the insidergroup,An error is thrown when the requestee of a private attachment is not in the insidergroup,Medium
checksetup.pl should get confirmation from the user before causing dataloss in UTF8 conversion,checksetup.pl should get confirmation from the user before causing dataloss in UTF8 conversion,Medium
email-in.pl permissions not good after running checksetup,email-in.pl permissions not good after running checksetup,Low
"""NNTP"" and ""IO"" should be filtered out of the mail_delivery_method options, or made useful","""NNTP"" and ""IO"" should be filtered out of the mail_delivery_method options, or made useful",Medium
"If recode.pl --guess is unable to detect some encodings, checksetup.pl will never complete (unless you agree to loose some data)","If recode.pl --guess is unable to detect some encodings, checksetup.pl will never complete (unless you agree to loose some data)",Medium
